child,parent
ORPHA:10,ORPHA:377789
ORPHA:10,ORPHA:557493
ORPHA:100,ORPHA:377788
ORPHA:100,ORPHA:557493
ORPHA:1000,ORPHA:377788
ORPHA:1000,ORPHA:557493
ORPHA:100000,ORPHA:557494
ORPHA:100001,ORPHA:557494
ORPHA:100002,ORPHA:377788
ORPHA:100002,ORPHA:557493
ORPHA:100003,ORPHA:377788
ORPHA:100003,ORPHA:557493
ORPHA:100006,ORPHA:557494
ORPHA:100008,ORPHA:557494
ORPHA:100011,ORPHA:377789
ORPHA:100011,ORPHA:557493
ORPHA:100012,ORPHA:377789
ORPHA:100012,ORPHA:557493
ORPHA:100013,ORPHA:377789
ORPHA:100013,ORPHA:557493
ORPHA:100014,ORPHA:377789
ORPHA:100014,ORPHA:557493
ORPHA:100015,ORPHA:377789
ORPHA:100015,ORPHA:557493
ORPHA:100016,ORPHA:377789
ORPHA:100016,ORPHA:557493
ORPHA:100019,ORPHA:557494
ORPHA:100020,ORPHA:557494
ORPHA:100021,ORPHA:557494
ORPHA:100022,ORPHA:557494
ORPHA:100024,ORPHA:557494
ORPHA:100025,ORPHA:557494
ORPHA:100026,ORPHA:557494
ORPHA:100031,ORPHA:557494
ORPHA:100032,ORPHA:557494
ORPHA:100033,ORPHA:557494
ORPHA:100034,ORPHA:557494
ORPHA:100035,ORPHA:377788
ORPHA:100035,ORPHA:557493
ORPHA:100043,ORPHA:377788
ORPHA:100043,ORPHA:557493
ORPHA:100044,ORPHA:377788
ORPHA:100044,ORPHA:557493
ORPHA:100045,ORPHA:377788
ORPHA:100045,ORPHA:557493
ORPHA:100046,ORPHA:377788
ORPHA:100046,ORPHA:557493
ORPHA:100047,ORPHA:377791
ORPHA:100047,ORPHA:557493
ORPHA:100048,ORPHA:377791
ORPHA:100048,ORPHA:557493
ORPHA:100049,ORPHA:264670
ORPHA:100049,ORPHA:264992
ORPHA:100049,ORPHA:557492
ORPHA:100050,ORPHA:557494
ORPHA:100051,ORPHA:557494
ORPHA:100054,ORPHA:557494
ORPHA:100055,ORPHA:557494
ORPHA:100056,ORPHA:557494
ORPHA:100057,ORPHA:377788
ORPHA:100057,ORPHA:557493
ORPHA:100067,ORPHA:557494
ORPHA:100069,ORPHA:377788
ORPHA:100069,ORPHA:557493
ORPHA:100070,ORPHA:377788
ORPHA:100070,ORPHA:557493
ORPHA:100071,ORPHA:377789
ORPHA:100071,ORPHA:557493
ORPHA:100073,ORPHA:557494
ORPHA:100075,ORPHA:377788
ORPHA:100075,ORPHA:557493
ORPHA:100076,ORPHA:423975
ORPHA:100076,ORPHA:557492
ORPHA:100077,ORPHA:423975
ORPHA:100077,ORPHA:557492
ORPHA:100078,ORPHA:377788
ORPHA:100078,ORPHA:557493
ORPHA:100079,ORPHA:377788
ORPHA:100079,ORPHA:557493
ORPHA:100080,ORPHA:377788
ORPHA:100080,ORPHA:557493
ORPHA:100081,ORPHA:377788
ORPHA:100081,ORPHA:557493
ORPHA:100082,ORPHA:377788
ORPHA:100082,ORPHA:557493
ORPHA:100083,ORPHA:377788
ORPHA:100083,ORPHA:557493
ORPHA:100084,ORPHA:377788
ORPHA:100084,ORPHA:557493
ORPHA:100085,ORPHA:377788
ORPHA:100085,ORPHA:557493
ORPHA:100086,ORPHA:377788
ORPHA:100086,ORPHA:557493
ORPHA:100087,ORPHA:101955
ORPHA:100087,ORPHA:182130
ORPHA:100087,ORPHA:557492
ORPHA:100088,ORPHA:100087
ORPHA:100088,ORPHA:557492
ORPHA:100090,ORPHA:182130
ORPHA:100090,ORPHA:557492
ORPHA:100090,ORPHA:68415
ORPHA:100091,ORPHA:101954
ORPHA:100091,ORPHA:182130
ORPHA:100091,ORPHA:557492
ORPHA:100092,ORPHA:557492
ORPHA:100092,ORPHA:877
ORPHA:100093,ORPHA:377792
ORPHA:100093,ORPHA:557493
ORPHA:100094,ORPHA:101956
ORPHA:100094,ORPHA:182130
ORPHA:100094,ORPHA:183643
ORPHA:100094,ORPHA:271847
ORPHA:100094,ORPHA:557492
ORPHA:1001,ORPHA:377789
ORPHA:1001,ORPHA:557493
ORPHA:100100,ORPHA:557492
ORPHA:100100,ORPHA:98057
ORPHA:100101,ORPHA:557492
ORPHA:100101,ORPHA:877
ORPHA:1003,ORPHA:377789
ORPHA:1003,ORPHA:557493
ORPHA:1005,ORPHA:377789
ORPHA:1005,ORPHA:557493
ORPHA:1006,ORPHA:377788
ORPHA:1006,ORPHA:557493
ORPHA:1008,ORPHA:377788
ORPHA:1008,ORPHA:557493
ORPHA:100924,ORPHA:377788
ORPHA:100924,ORPHA:557493
ORPHA:100973,ORPHA:377788
ORPHA:100973,ORPHA:557493
ORPHA:100974,ORPHA:377788
ORPHA:100974,ORPHA:557493
ORPHA:100976,ORPHA:377788
ORPHA:100976,ORPHA:557493
ORPHA:100978,ORPHA:377789
ORPHA:100978,ORPHA:557493
ORPHA:100979,ORPHA:102013
ORPHA:100979,ORPHA:557492
ORPHA:100980,ORPHA:102012
ORPHA:100980,ORPHA:557492
ORPHA:100981,ORPHA:102013
ORPHA:100981,ORPHA:557492
ORPHA:100982,ORPHA:102012
ORPHA:100982,ORPHA:557492
ORPHA:100984,ORPHA:377788
ORPHA:100984,ORPHA:557493
ORPHA:100985,ORPHA:377788
ORPHA:100985,ORPHA:557493
ORPHA:100986,ORPHA:377788
ORPHA:100986,ORPHA:557493
ORPHA:100988,ORPHA:377788
ORPHA:100988,ORPHA:557493
ORPHA:100989,ORPHA:377788
ORPHA:100989,ORPHA:557493
ORPHA:100991,ORPHA:377788
ORPHA:100991,ORPHA:557493
ORPHA:100993,ORPHA:377788
ORPHA:100993,ORPHA:557493
ORPHA:100994,ORPHA:377788
ORPHA:100994,ORPHA:557493
ORPHA:100995,ORPHA:377788
ORPHA:100995,ORPHA:557493
ORPHA:100996,ORPHA:377788
ORPHA:100996,ORPHA:557493
ORPHA:100997,ORPHA:377788
ORPHA:100997,ORPHA:557493
ORPHA:100998,ORPHA:377788
ORPHA:100998,ORPHA:557493
ORPHA:100999,ORPHA:377788
ORPHA:100999,ORPHA:557493
ORPHA:101,ORPHA:377788
ORPHA:101,ORPHA:557493
ORPHA:1010,ORPHA:377788
ORPHA:1010,ORPHA:557493
ORPHA:101000,ORPHA:377788
ORPHA:101000,ORPHA:557493
ORPHA:101001,ORPHA:377788
ORPHA:101001,ORPHA:557493
ORPHA:101003,ORPHA:377788
ORPHA:101003,ORPHA:557493
